,track_id,track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo
0,6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,Pop Remix,pop,dance pop,0.748,0.916,6,-2.634,0.0583,0.102,0.0653,0.518,122.036
1,0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Maroon 5,67,Memories (Dillon Francis Remix),2019-12-13,Pop Remix,pop,dance pop,0.726,0.815,11,-4.969,0.0373,0.0724,0.357,0.693,99.972
2,1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,Zara Larsson,70,All the Time (Don Diablo Remix),2019-07-05,Pop Remix,pop,dance pop,0.675,0.931,1,-3.432,0.0742,0.0794,0.11,0.613,124.008
3,75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,60,Call You Mine - The Remixes,2019-07-19,Pop Remix,pop,dance pop,0.718,0.93,7,-3.778,0.102,0.0287,0.204,0.277,121.956
4,1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,69,Someone You Loved (Future Humans Remix),2019-03-05,Pop Remix,pop,dance pop,0.65,0.833,1,-4.672,0.0359,0.0803,0.0833,0.725,123.976
5,7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,Beautiful People (feat. Khalid) [Jack Wins Remix],2019-07-11,Pop Remix,pop,dance pop,0.675,0.919,8,-5.385,0.127,0.0799,0.143,0.585,124.982
6,2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Katy Perry,62,Never Really Over (R3HAB Remix),2019-07-26,Pop Remix,pop,dance pop,0.449,0.856,5,-4.788,0.0623,0.187,0.176,0.152,112.648
7,6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,Post Malone (feat. RANI) [GATTÜSO Remix],2019-08-29,Pop Remix,pop,dance pop,0.542,0.903,4,-2.419,0.0434,0.0335,0.111,0.367,127.936
8,7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,Avicii,68,Tough Love (Tiësto Remix),2019-06-14,Pop Remix,pop,dance pop,0.594,0.935,8,-3.562,0.0565,0.0249,0.637,0.366,127.015
9,1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,Shawn Mendes,67,If I Can't Have You (Gryffin Remix),2019-06-20,Pop Remix,pop,dance pop,0.642,0.818,2,-4.552,0.032,0.0567,0.0919,0.59,124.957
10,3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,Pop Remix,pop,dance pop,0.679,0.923,6,-6.5,0.181,0.146,0.124,0.752,121.984
11,3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Ellie Goulding,67,Hate Me (R3HAB Remix),2019-08-16,Pop Remix,pop,dance pop,0.437,0.774,8,-4.918,0.0554,0.148,0.133,0.329,123.125
12,6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,67,Body On My,2019-03-29,Pop Remix,pop,dance pop,0.744,0.726,1,-4.675,0.0463,0.0399,0.374,0.687,121.985
13,3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,SOS (Laidback Luke Tribute Remix),2019-05-17,Pop Remix,pop,dance pop,0.572,0.915,5,-4.451,0.0625,0.0111,0.339,0.678,123.919
14,55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,Pop Remix,pop,dance pop,0.69,0.78,5,-4.446,0.0594,0.00733,0.0729,0.238,126.07
15,1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019-12-11,Pop Remix,pop,dance pop,0.805,0.835,0,-4.603,0.0896,0.13,0.365,0.722,125.028
16,5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,AJ Mitchell,60,All My Friends (Eden Prince Remix),2019-05-03,Pop Remix,pop,dance pop,0.694,0.901,1,-4.322,0.0948,0.0702,0.427,0.368,118.051
17,3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018-12-28,Pop Remix,pop,dance pop,0.678,0.747,10,-5.289,0.165,0.0395,0.174,0.516,120.002
18,0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019-03-08,Pop Remix,pop,dance pop,0.746,0.557,1,-6.722,0.0542,0.103,0.138,0.324,111.961
19,2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,Steve Aoki,35,Let It Be Me (Remixes),2019-10-18,Pop Remix,pop,dance pop,0.467,0.821,7,-5.466,0.0934,0.00791,0.131,0.232,122.676
20,4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Avicii,70,Heaven (David Guetta & MORTEN Remix),2019-08-23,Pop Remix,pop,dance pop,0.572,0.934,6,-5.053,0.0446,0.00292,0.105,0.204,125.948
21,3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,R3HAB,64,All Around The World (La La La) [Marnik Remix],2019-08-23,Pop Remix,pop,dance pop,0.708,0.913,9,-4.329,0.0348,0.089,0.113,0.707,135.016
22,1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,Pop Remix,pop,dance pop,0.684,0.818,4,-4.477,0.128,0.0469,0.119,0.336,123.938
